antecedent,consequent,antecedent_n,consequent_n,both_n,support_pct,confidence,lift
Oracle + SQL Server,Data Warehouse,36,147,27,3.8,0.75,3.628
Data Warehouse + ELT,Oracle,57,86,25,3.52,0.439,3.626
Data Lake + Data Warehouse,Data Modeling,60,85,26,3.66,0.433,3.625
AWS + SQL,Azure,75,97,37,5.2,0.493,3.616
Computer Vision + Machine Learning,LLM,45,118,27,3.8,0.6,3.615
PostgreSQL,Oracle,71,86,31,4.36,0.437,3.61
Oracle,PostgreSQL,86,71,31,4.36,0.36,3.61
Looker + SQL,Power BI,32,197,32,4.5,1.0,3.609
Looker + Tableau,Power BI,29,197,29,4.08,1.0,3.609
Data Visualization + Python,Statistics,53,134,36,5.06,0.679,3.604
Big Data + Data Quality,Data Warehouse,47,147,35,4.92,0.745,3.602
ETL + SQL Server,Big Data,41,130,27,3.8,0.659,3.602
ETL + SQL,Data Lake,110,70,39,5.49,0.355,3.601
CI/CD + Python,AWS,47,122,29,4.08,0.617,3.596
Machine Learning + Power BI,Statistics,40,134,27,3.8,0.675,3.582
Big Data + Python,Spark,84,83,35,4.92,0.417,3.569
Airflow,Data Pipeline,60,93,28,3.94,0.467,3.568
Power BI + Python,Data Visualization,102,86,44,6.19,0.431,3.566
Reporting + SQL Server,ETL,42,133,28,3.94,0.667,3.564
Data Modeling + Reporting,Data Warehouse,53,147,39,5.49,0.736,3.559
AWS + LLM,AI,38,158,30,4.22,0.789,3.553
Data Warehouse + Python,ETL,86,133,57,8.02,0.663,3.543
Statistics + Tableau,Power BI,52,197,51,7.17,0.981,3.54
Data Modeling + Data Quality,Data Warehouse,41,147,30,4.22,0.732,3.539
ELT,Data Pipeline,67,93,31,4.36,0.463,3.537
Data Modeling + Python,ETL,50,133,33,4.64,0.66,3.528
Docker + Kubernetes,AWS,43,122,26,3.66,0.605,3.524
Data Analysis + Tableau,Power BI,84,197,82,11.53,0.976,3.523
Data Modeling + Data Quality,ETL,41,133,27,3.8,0.659,3.52
English + LLM,AI,55,158,43,6.05,0.782,3.518
Kafka + Spark,ETL,38,133,25,3.52,0.658,3.517
LLM + PyTorch,AI,32,158,25,3.52,0.781,3.516
Docker + LLM,AI,41,158,32,4.5,0.78,3.512
ELT + SQL,Data Pipeline,61,93,28,3.94,0.459,3.509
Oracle + Python,Data Warehouse,40,147,29,4.08,0.725,3.507
Data Warehouse + Tableau,Power BI,35,197,34,4.78,0.971,3.506
Data Pipeline + SQL,Data Modeling,74,85,31,4.36,0.419,3.504
AI + PyTorch,LLM,43,118,25,3.52,0.581,3.503
Python + Statistics,Data Visualization,85,86,36,5.06,0.424,3.502
LLM + Machine Learning,Docker,85,79,33,4.64,0.388,3.494
Data Analysis + Data Visualization,Tableau,71,109,38,5.34,0.535,3.491
Data Analysis + Looker,Power BI,30,197,29,4.08,0.967,3.489
Data Warehouse + ELT,Data Pipeline,57,93,26,3.66,0.456,3.487
Data Warehouse + Machine Learning,Big Data,44,130,28,3.94,0.636,3.48
SQL Server,ETL,63,133,41,5.77,0.651,3.479
Airflow,ETL,60,133,39,5.49,0.65,3.475
ELT + ETL,Data Pipeline,66,93,30,4.22,0.455,3.475
SQL + Statistics,Data Visualization,100,86,42,5.91,0.42,3.472
LLM + Python,AI,95,158,73,10.27,0.768,3.458
ETL + Spark,Data Warehouse,42,147,30,4.22,0.714,3.455
Data Warehouse + English,ETL,48,133,31,4.36,0.646,3.453
Data Quality + Python,Data Pipeline,71,93,32,4.5,0.451,3.446
Data Visualization + Tableau,Power BI,44,197,42,5.91,0.955,3.445
ETL + Spark,Data Quality,42,123,25,3.52,0.595,3.441
Power BI + Tableau,Data Visualization,101,86,42,5.91,0.416,3.438
dbt,Data Warehouse,38,147,27,3.8,0.711,3.437
LLM,AI,118,158,90,12.66,0.763,3.432
AI,LLM,158,118,90,12.66,0.57,3.432
LLM + SQL,AI,42,158,32,4.5,0.762,3.429
Data Pipeline + Reporting,ETL,39,133,25,3.52,0.641,3.427
Data Pipeline + ETL,Data Warehouse,48,147,34,4.78,0.708,3.426
Airflow + SQL,ETL,50,133,32,4.5,0.64,3.421
ELT + Python,Data Quality,49,123,29,4.08,0.592,3.421
ETL + Reporting,Data Warehouse,75,147,53,7.45,0.707,3.418
Data Visualization + Reporting,Tableau,63,109,33,4.64,0.524,3.417
SQL + Tableau,Power BI,92,197,87,12.24,0.946,3.413
LLM + Python,Docker,95,79,36,5.06,0.379,3.411
AWS + Python,Spark,88,83,35,4.92,0.398,3.407
AWS + Spark,ETL,44,133,28,3.94,0.636,3.402
Airflow + Python,ETL,44,133,28,3.94,0.636,3.402
Data Analysis + Statistics,Data Visualization,107,86,44,6.19,0.411,3.4
Data Quality + ETL,Data Engineering,56,101,27,3.8,0.482,3.394
Reporting + Tableau,Power BI,83,197,78,10.97,0.94,3.392
Kubernetes,AWS,55,122,32,4.5,0.582,3.391
Looker + Reporting,Power BI,33,197,31,4.36,0.939,3.39
Docker + Python,LLM,64,118,36,5.06,0.562,3.389
Python + Tableau,Power BI,65,197,61,8.58,0.938,3.387
Excel + Tableau,Power BI,32,197,30,4.22,0.938,3.384
Python + Spark,Data Pipeline,61,93,27,3.8,0.443,3.384
Big Data + Data Warehouse,Oracle,66,86,27,3.8,0.409,3.382
Data Visualization + SQL,Statistics,66,134,42,5.91,0.636,3.377
Big Data + Tableau,Power BI,31,197,29,4.08,0.935,3.376
Machine Learning + TensorFlow,LLM,50,118,28,3.94,0.56,3.374
Data Pipeline + ETL,Data Quality,48,123,28,3.94,0.583,3.372
ETL + Tableau,Power BI,30,197,28,3.94,0.933,3.369
CI/CD,AWS,71,122,41,5.77,0.577,3.365
AI + English,LLM,77,118,43,6.05,0.558,3.365
Data Engineering + Data Quality,ETL,43,133,27,3.8,0.628,3.357
Data Lake,Data Modeling,70,85,28,3.94,0.4,3.346
Tableau,Power BI,109,197,101,14.21,0.927,3.344
Python + Spark,AWS,61,122,35,4.92,0.574,3.344
Power BI,Tableau,197,109,101,14.21,0.513,3.344
Oracle + Python,ETL,40,133,25,3.52,0.625,3.341
Data Modeling + SQL,Data Pipeline,71,93,31,4.36,0.437,3.338
Data Visualization,Tableau,86,109,44,6.19,0.512,3.337
Tableau,Data Visualization,109,86,44,6.19,0.404,3.337
Big Data + SQL,Spark,95,83,37,5.2,0.389,3.336
Kafka + SQL,Big Data,41,130,25,3.52,0.61,3.335
Looker,Power BI,39,197,36,5.06,0.923,3.332
Data Modeling + Reporting,ETL,53,133,33,4.64,0.623,3.329
AI + SQL,LLM,58,118,32,4.5,0.552,3.324
Computer Vision,LLM,49,118,27,3.8,0.551,3.32
ETL + SQL Server,Data Warehouse,41,147,28,3.94,0.683,3.303
Reporting + Statistics,Tableau,79,109,40,5.63,0.506,3.303
Data Quality + Data Warehouse,Big Data,58,130,35,4.92,0.603,3.3
Machine Learning + PyTorch,LLM,53,118,29,4.08,0.547,3.297
Data Warehouse + Reporting,ETL,86,133,53,7.45,0.616,3.295
Spark,Big Data,83,130,50,7.03,0.602,3.295
Big Data,Spark,130,83,50,7.03,0.385,3.295
Big Data + ETL,Data Quality,58,123,33,4.64,0.569,3.289
NLP,AI,52,158,38,5.34,0.731,3.288
Data Analysis + Data Visualization,Statistics,71,134,44,6.19,0.62,3.288
Reporting + Tableau,Data Visualization,83,86,33,4.64,0.398,3.287
Data Visualization + Reporting,Statistics,63,134,39,5.49,0.619,3.285
Data Quality + SQL,Data Governance,90,77,32,4.5,0.356,3.283
Data Warehouse + Oracle,Big Data,45,130,27,3.8,0.6,3.282
English + Tableau,Power BI,33,197,30,4.22,0.909,3.281
Data Lake + ETL,AWS,48,122,27,3.8,0.562,3.278
Python + TensorFlow,LLM,57,118,31,4.36,0.544,3.277
Data Engineering + Python,Spark,68,83,26,3.66,0.382,3.275
Data Warehouse + ETL,Oracle,86,86,34,4.78,0.395,3.269
AWS + ETL,Data Quality,46,123,26,3.66,0.565,3.267
Java,Big Data,52,130,31,4.36,0.596,3.261
Kafka,Big Data,52,130,31,4.36,0.596,3.261
Kafka + SQL,ETL,41,133,25,3.52,0.61,3.26
AWS + Data Engineering,ETL,41,133,25,3.52,0.61,3.26
Machine Learning + NLP,AI,47,158,34,4.78,0.723,3.255
Data Quality + SQL,Data Modeling,90,85,35,4.92,0.389,3.253
Data Modeling + ETL,Data Quality,48,123,27,3.8,0.562,3.252
Big Data + Machine Learning,Spark,66,83,25,3.52,0.379,3.245
Airflow + SQL,Data Quality,50,123,28,3.94,0.56,3.237
Machine Learning + PyTorch,AI,53,158,38,5.34,0.717,3.226
Data Warehouse + SQL,ETL,121,133,73,10.27,0.603,3.225
Data Quality + ETL,Big Data,56,130,33,4.64,0.589,3.223
PyTorch + TensorFlow,LLM,58,118,31,4.36,0.534,3.22
PyTorch + Python,LLM,60,118,32,4.5,0.533,3.214
SQL + Spark,Big Data,63,130,37,5.2,0.587,3.212
ETL + SQL,Data Warehouse,110,147,73,10.27,0.664,3.21
ETL + Python,Data Modeling,86,85,33,4.64,0.384,3.21
Data Engineering + Reporting,ETL,45,133,27,3.8,0.6,3.208
English + Power BI,Tableau,61,109,30,4.22,0.492,3.208
ETL + Python,Data Warehouse,86,147,57,8.02,0.663,3.206
AI + LLM,Docker,90,79,32,4.5,0.356,3.2
ETL + SQL,Data Modeling,110,85,42,5.91,0.382,3.194
ETL + Power BI,Data Warehouse,50,147,33,4.64,0.66,3.192
Data Modeling + Power BI,Data Warehouse,41,147,27,3.8,0.659,3.185
Python + Tableau,Statistics,65,134,39,5.49,0.6,3.184
Data Quality + Python,Data Modeling,71,85,27,3.8,0.38,3.181
Data Warehouse + SQL,Data Modeling,121,85,46,6.47,0.38,3.18
Data Quality + Python,Data Engineering,71,101,32,4.5,0.451,3.173
PyTorch,AI,61,158,43,6.05,0.705,3.172
Airflow,Data Engineering,60,101,27,3.8,0.45,3.168
Data Visualization + Power BI,Statistics,62,134,37,5.2,0.597,3.166
TensorFlow,LLM,59,118,31,4.36,0.525,3.166
Data Engineering + ETL,Data Warehouse,52,147,34,4.78,0.654,3.162
Data Engineering + SQL,ETL,71,133,42,5.91,0.592,3.162
Data Modeling + SQL,ETL,71,133,42,5.91,0.592,3.162
PyTorch,LLM,61,118,32,4.5,0.525,3.161
Data Governance + SQL,Data Warehouse,49,147,32,4.5,0.653,3.159
Data Warehouse + Machine Learning,ETL,44,133,26,3.66,0.591,3.159
Machine Learning + Tableau,Power BI,32,197,28,3.94,0.875,3.158
SQL + Spark,Data Pipeline,63,93,26,3.66,0.413,3.155
AWS + ETL,Data Warehouse,46,147,30,4.22,0.652,3.154
Data Governance,Data Quality,77,123,42,5.91,0.545,3.153
Data Modeling + Data Warehouse,Data Quality,55,123,30,4.22,0.545,3.153
ELT,Data Engineering,67,101,30,4.22,0.448,3.152
PyTorch + Python,AI,60,158,42,5.91,0.7,3.15
Machine Learning + TensorFlow,AI,50,158,35,4.92,0.7,3.15
Data Modeling,Data Pipeline,85,93,35,4.92,0.412,3.148
Data Pipeline,Data Modeling,93,85,35,4.92,0.376,3.148
ETL + Machine Learning,Data Warehouse,40,147,26,3.66,0.65,3.144
Data Warehouse + ELT,Data Quality,57,123,31,4.36,0.544,3.144
Python + Spark,Big Data,61,130,35,4.92,0.574,3.138
CI/CD,GCP,71,83,26,3.66,0.366,3.137
Data Quality + Python,Spark,71,83,26,3.66,0.366,3.137
Data Modeling + SQL,Data Warehouse,71,147,46,6.47,0.648,3.134
ELT + ETL,Oracle,66,86,25,3.52,0.379,3.132
SQL + Statistics,Tableau,100,109,48,6.75,0.48,3.131
Data Modeling,Data Warehouse,85,147,55,7.74,0.647,3.13
Data Warehouse,Data Modeling,147,85,55,7.74,0.374,3.13
ETL,Data Warehouse,133,147,86,12.1,0.647,3.128
Data Warehouse,ETL,147,133,86,12.1,0.585,3.128
ELT + SQL,Data Quality,61,123,33,4.64,0.541,3.127
Docker,LLM,79,118,41,5.77,0.519,3.127
Computer Vision,AI,49,158,34,4.78,0.694,3.122
Data Modeling + Python,Data Quality,50,123,27,3.8,0.54,3.121
Data Governance + Data Quality,Data Warehouse,42,147,27,3.8,0.643,3.109
Airflow,AWS,60,122,32,4.5,0.533,3.108
ELT,Data Quality,67,123,36,5.06,0.537,3.106
Oracle + SQL,Data Warehouse,67,147,43,6.05,0.642,3.104
PyTorch + TensorFlow,AI,58,158,40,5.63,0.69,3.103
NLP + Python,AI,45,158,31,4.36,0.689,3.1
Computer Vision + Machine Learning,AI,45,158,31,4.36,0.689,3.1
Airflow + SQL,Data Warehouse,50,147,32,4.5,0.64,3.096
Docker + Machine Learning,AI,48,158,33,4.64,0.688,3.094
ELT + ETL,Data Engineering,66,101,29,4.08,0.439,3.093
Spark,AWS,83,122,44,6.19,0.53,3.089
AWS,Spark,122,83,44,6.19,0.361,3.089
ELT,Oracle,67,86,25,3.52,0.373,3.085
Kafka,ETL,52,133,30,4.22,0.577,3.084
Python + TensorFlow,AI,57,158,39,5.49,0.684,3.079
Deep Learning + PyTorch,AI,38,158,26,3.66,0.684,3.079
Data Pipeline + English,ETL,47,133,27,3.8,0.574,3.071
Data Pipeline + Python,Data Modeling,79,85,29,4.08,0.367,3.071
PyTorch + scikit-learn,Machine Learning,28,232,28,3.94,1.0,3.065
Computer Vision + LLM,Machine Learning,27,232,27,3.8,1.0,3.065
Computer Vision + NLP,Machine Learning,27,232,27,3.8,1.0,3.065
Big Data + Data Warehouse,Data Quality,66,123,35,4.92,0.53,3.065
ELT + ETL,Data Quality,66,123,35,4.92,0.53,3.065
SQL + Spark,AWS,63,122,33,4.64,0.524,3.053
TensorFlow,AI,59,158,40,5.63,0.678,3.051
Data Pipeline + SQL,ETL,74,133,42,5.91,0.568,3.034
Data Quality + Data Warehouse,Data Engineering,58,101,25,3.52,0.431,3.034
Data Analysis + ETL,Data Warehouse,59,147,37,5.2,0.627,3.033
Data Analysis + Machine Learning,Statistics,84,134,48,6.75,0.571,3.032
ETL + Python,Data Engineering,86,101,37,5.2,0.43,3.029
Data Warehouse + ETL,Data Pipeline,86,93,34,4.78,0.395,3.023
Big Data + English,ETL,46,133,26,3.66,0.565,3.022
Data Modeling,ETL,85,133,48,6.75,0.565,3.019
ETL,Data Modeling,133,85,48,6.75,0.361,3.019
Data Engineering + SQL,Spark,71,83,25,3.52,0.352,3.016
Data Warehouse + Python,Data Modeling,86,85,31,4.36,0.36,3.015
Data Quality + Python,ETL,71,133,40,5.63,0.563,3.012
Data Analysis + Power BI,Data Visualization,140,86,51,7.17,0.364,3.012
Data Pipeline + SQL,Spark,74,83,26,3.66,0.351,3.01
Data Engineering + ETL,Data Quality,52,123,27,3.8,0.519,3.001
Python + Spark,Data Engineering,61,101,26,3.66,0.426,3.0
Big Data + Spark,Data Warehouse,50,147,31,4.36,0.62,2.999
Data Modeling + Python,Data Warehouse,50,147,31,4.36,0.62,2.999
Data Visualization + Python,Power BI,53,197,44,6.19,0.83,2.996
Big Data + Spark,ETL,50,133,28,3.94,0.56,2.994
PostgreSQL + SQL,ETL,50,133,28,3.94,0.56,2.994
Python + Statistics,Tableau,85,109,39,5.49,0.459,2.993
Data Warehouse + Reporting,Oracle,86,86,31,4.36,0.36,2.98
Data Warehouse + ELT,Big Data,57,130,31,4.36,0.544,2.974
Data Quality + SQL,Data Pipeline,90,93,35,4.92,0.389,2.973
AWS + ETL,Big Data,46,130,25,3.52,0.543,2.972
Data Analysis + Tableau,Statistics,84,134,47,6.61,0.56,2.969
Data Lake,Big Data,70,130,38,5.34,0.543,2.969
Spark,Data Engineering,83,101,35,4.92,0.422,2.969
Data Lake + ETL,Big Data,48,130,26,3.66,0.542,2.962
Deep Learning + Python,LLM,59,118,29,4.08,0.492,2.962
TensorFlow + scikit-learn,Machine Learning,29,232,28,3.94,0.966,2.959
Computer Vision + Deep Learning,Machine Learning,29,232,28,3.94,0.966,2.959
Data Engineering + Data Warehouse,Data Quality,49,123,25,3.52,0.51,2.949
Oracle + Reporting,Data Warehouse,51,147,31,4.36,0.608,2.94
Data Warehouse + Power BI,ETL,60,133,33,4.64,0.55,2.94
Data Warehouse + SQL,Oracle,121,86,43,6.05,0.355,2.938
Data Warehouse + Python,Data Pipeline,86,93,33,4.64,0.384,2.934
Data Lake + Data Warehouse,Data Engineering,60,101,25,3.52,0.417,2.933
Data Engineering + SQL,Data Quality,71,123,36,5.06,0.507,2.931
AI + Deep Learning,Machine Learning,44,232,42,5.91,0.955,2.925
Excel + Power BI,Tableau,67,109,30,4.22,0.448,2.921
ETL + SQL,Data Pipeline,110,93,42,5.91,0.382,2.919
Data Lake + Data Warehouse,Big Data,60,130,32,4.5,0.533,2.917
Airflow + SQL,AWS,50,122,25,3.52,0.5,2.914
Data Engineering + Python,ETL,68,133,37,5.2,0.544,2.909
Deep Learning + Machine Learning,AI,65,158,42,5.91,0.646,2.908
Data Analysis + Python,Data Visualization,131,86,46,6.47,0.351,2.903
Data Engineering + Reporting,Data Warehouse,45,147,27,3.8,0.6,2.902
Data Visualization,Statistics,86,134,47,6.61,0.547,2.9
Statistics,Data Visualization,134,86,47,6.61,0.351,2.9
Data Visualization + SQL,Power BI,66,197,53,7.45,0.803,2.898
Deep Learning + Python,AI,59,158,38,5.34,0.644,2.898
Computer Vision + Python,AI,42,158,27,3.8,0.643,2.893
CI/CD,Azure,71,97,28,3.94,0.394,2.891
Data Warehouse + ETL,Data Quality,86,123,43,6.05,0.5,2.89
Airflow,Data Quality,60,123,30,4.22,0.5,2.89
ELT + SQL,Data Engineering,61,101,25,3.52,0.41,2.885
ETL + English,Data Warehouse,52,147,31,4.36,0.596,2.883
Python + scikit-learn,Machine Learning,33,232,31,4.36,0.939,2.879
Deep Learning + LLM,Machine Learning,33,232,31,4.36,0.939,2.879
Reporting + SQL Server,Data Warehouse,42,147,25,3.52,0.595,2.879
Deep Learning + Machine Learning,LLM,65,118,31,4.36,0.477,2.874
Data Analysis + Statistics,Tableau,107,109,47,6.61,0.439,2.865
Data Warehouse + ETL,Big Data,86,130,45,6.33,0.523,2.862
NLP + Python,Machine Learning,45,232,42,5.91,0.933,2.86
Spark,Data Pipeline,83,93,31,4.36,0.373,2.855
Docker + English,AI,41,158,26,3.66,0.634,2.854
Data Quality + SQL,ETL,90,133,48,6.75,0.533,2.851
Data Modeling + SQL,Data Quality,71,123,35,4.92,0.493,2.85
Deep Learning,Machine Learning,70,232,65,9.14,0.929,2.846
Data Visualization + Statistics,Power BI,47,197,37,5.2,0.787,2.841
Deep Learning,LLM,70,118,33,4.64,0.471,2.841
Data Analysis + Python,Tableau,131,109,57,8.02,0.435,2.838
Deep Learning,AI,70,158,44,6.19,0.629,2.829
Airflow,Data Warehouse,60,147,35,4.92,0.583,2.821
Git + Python,LLM,62,118,29,4.08,0.468,2.818
Data Quality + SQL,Data Engineering,90,101,36,5.06,0.4,2.816
Data Lake,Data Engineering,70,101,28,3.94,0.4,2.816
Big Data + Reporting,Data Warehouse,67,147,39,5.49,0.582,2.815
Computer Vision,Machine Learning,49,232,45,6.33,0.918,2.814
Data Engineering + Data Quality,Data Warehouse,43,147,25,3.52,0.581,2.812
LLM + NLP,Machine Learning,36,232,33,4.64,0.917,2.809
Power BI + Python,Statistics,102,134,54,7.59,0.529,2.809
Deep Learning + Python,Machine Learning,59,232,54,7.59,0.915,2.805
Kafka,AWS,52,122,25,3.52,0.481,2.802
Data Engineering + ETL,AWS,52,122,25,3.52,0.481,2.802
Big Data + SQL,Data Warehouse,95,147,55,7.74,0.579,2.8
scikit-learn,Machine Learning,34,232,31,4.36,0.912,2.794
AI + Computer Vision,Machine Learning,34,232,31,4.36,0.912,2.794
SQL + Spark,Data Engineering,63,101,25,3.52,0.397,2.793
Data Governance + SQL,Big Data,49,130,25,3.52,0.51,2.79
Data Modeling,Data Quality,85,123,41,5.77,0.482,2.788
Data Analysis + Data Warehouse,ETL,71,133,37,5.2,0.521,2.786
GCP + SQL,ETL,48,133,25,3.52,0.521,2.784
Data Warehouse + ETL,Data Engineering,86,101,34,4.78,0.395,2.783
LLM + PyTorch,Machine Learning,32,232,29,4.08,0.906,2.777
Data Pipeline + Python,ETL,79,133,41,5.77,0.519,2.774
Computer Vision + Python,Machine Learning,42,232,38,5.34,0.905,2.773
Data Quality + Python,Big Data,71,130,36,5.06,0.507,2.773
NLP,Machine Learning,52,232,47,6.61,0.904,2.77
LLM + TensorFlow,Machine Learning,31,232,28,3.94,0.903,2.768
SQL + Tableau,Statistics,92,134,48,6.75,0.522,2.768
Data Pipeline,ETL,93,133,48,6.75,0.516,2.759
ETL,Data Pipeline,133,93,48,6.75,0.361,2.759
Big Data + SQL,ETL,95,133,49,6.89,0.516,2.757
SQL + Spark,Data Quality,63,123,30,4.22,0.476,2.753
Data Engineering,ETL,101,133,52,7.31,0.515,2.752
ETL,Data Engineering,133,101,52,7.31,0.391,2.752
AI + NLP,Machine Learning,38,232,34,4.78,0.895,2.742
Deep Learning + PyTorch,Machine Learning,38,232,34,4.78,0.895,2.742
Data Quality + SQL,Data Warehouse,90,147,51,7.17,0.567,2.741
Deep Learning + English,Machine Learning,28,232,25,3.52,0.893,2.736
English + PyTorch,Machine Learning,28,232,25,3.52,0.893,2.736
ELT + ETL,Big Data,66,130,33,4.64,0.5,2.735
Data Lake + SQL,Big Data,56,130,28,3.94,0.5,2.735
NoSQL,Big Data,52,130,26,3.66,0.5,2.735
ETL + English,Big Data,52,130,26,3.66,0.5,2.735
Docker,AI,79,158,48,6.75,0.608,2.734
Data Pipeline + SQL,Data Quality,74,123,35,4.92,0.473,2.734
Data Governance + SQL,ETL,49,133,25,3.52,0.51,2.727
Data Quality + Python,Data Warehouse,71,147,40,5.63,0.563,2.725
Oracle + Reporting,ETL,51,133,26,3.66,0.51,2.725
Data Engineering + Python,Data Quality,68,123,32,4.5,0.471,2.72
SQL + Spark,ETL,63,133,32,4.5,0.508,2.715
Deep Learning + TensorFlow,Machine Learning,35,232,31,4.36,0.886,2.714
Data Analysis + Python,Statistics,131,134,67,9.42,0.511,2.714
Big Data + Reporting,ETL,67,133,34,4.78,0.507,2.713
Oracle + SQL,ETL,67,133,34,4.78,0.507,2.713
AI + PyTorch,Machine Learning,43,232,38,5.34,0.884,2.708
Business Intelligence + SQL,Power BI,40,197,30,4.22,0.75,2.707
Data Quality + ETL,AWS,56,122,26,3.66,0.464,2.706
Spark,ETL,83,133,42,5.91,0.506,2.705
GCP + Machine Learning,AI,45,158,27,3.8,0.6,2.7
SQL + SQL Server,Data Warehouse,52,147,29,4.08,0.558,2.697
Big Data + Data Analysis,Statistics,61,134,31,4.36,0.508,2.696
ELT,Big Data,67,130,33,4.64,0.493,2.694
Oracle + SQL,Big Data,67,130,33,4.64,0.493,2.694
AWS + Python,Data Pipeline,88,93,31,4.36,0.352,2.693
CI/CD,Data Pipeline,71,93,25,3.52,0.352,2.692
ELT + SQL,Big Data,61,130,30,4.22,0.492,2.69
Machine Learning + Python,LLM,168,118,75,10.55,0.446,2.69
Data Warehouse + Python,Data Quality,86,123,40,5.63,0.465,2.689
ETL + Python,Data Quality,86,123,40,5.63,0.465,2.689
ETL + SQL,Data Engineering,110,101,42,5.91,0.382,2.688
Business Intelligence + Reporting,Power BI,43,197,32,4.5,0.744,2.686
AI + TensorFlow,Machine Learning,40,232,35,4.92,0.875,2.682
Power BI + Tableau,Statistics,101,134,51,7.17,0.505,2.679
Docker + Python,AI,64,158,38,5.34,0.594,2.672
PyTorch,Machine Learning,61,232,53,7.45,0.869,2.663
Data Engineering + Python,AWS,68,122,31,4.36,0.456,2.657
PyTorch + Python,Machine Learning,60,232,52,7.31,0.867,2.656
Airflow,Big Data,60,130,29,4.08,0.483,2.643
PyTorch + TensorFlow,Machine Learning,58,232,50,7.03,0.862,2.642
AWS + SQL,ETL,75,133,37,5.2,0.493,2.637
Python + TensorFlow,Machine Learning,57,232,49,6.89,0.86,2.635
Data Visualization + Reporting,Power BI,63,197,46,6.47,0.73,2.635
SQL + SQL Server,Big Data,52,130,25,3.52,0.481,2.629
AWS + SQL,Data Engineering,75,101,28,3.94,0.373,2.628
LLM + SQL,Machine Learning,42,232,36,5.06,0.857,2.627
AWS + Machine Learning,LLM,62,118,27,3.8,0.435,2.624
ETL + Reporting,Data Quality,75,123,34,4.78,0.453,2.62
Data Warehouse + Python,Data Engineering,86,101,32,4.5,0.372,2.619
Big Data + SQL,Data Quality,95,123,43,6.05,0.453,2.616
Data Quality + SQL,Big Data,90,130,43,6.05,0.478,2.613
Data Analysis + SQL,Tableau,185,109,74,10.41,0.4,2.609
Excel + Python,Power BI,36,197,26,3.66,0.722,2.607
Data Warehouse + Python,Big Data,86,130,41,5.77,0.477,2.607
Reporting + Statistics,Power BI,79,197,57,8.02,0.722,2.604
Data Visualization,Power BI,86,197,62,8.72,0.721,2.602
TensorFlow,Machine Learning,59,232,50,7.03,0.847,2.597
Data Analysis + Data Visualization,Power BI,71,197,51,7.17,0.718,2.592
English + Machine Learning,LLM,93,118,40,5.63,0.43,2.592
Data Engineering + SQL,Data Warehouse,71,147,38,5.34,0.535,2.589
Azure + SQL,ETL,56,133,27,3.8,0.482,2.577
Azure + Machine Learning,AI,49,158,28,3.94,0.571,2.571
Excel + SQL,Power BI,69,197,49,6.89,0.71,2.563
Data Quality + Reporting,ETL,71,133,34,4.78,0.479,2.56
Machine Learning + Statistics,Big Data,62,130,29,4.08,0.468,2.558
Reporting + Tableau,Statistics,83,134,40,5.63,0.482,2.557
Excel + SQL,Tableau,69,109,27,3.8,0.391,2.552
Data Analysis + Data Quality,Data Warehouse,55,147,29,4.08,0.527,2.55
GCP,Data Engineering,83,101,30,4.22,0.361,2.544
AWS + Azure,Data Engineering,72,101,26,3.66,0.361,2.542
Python + Spark,ETL,61,133,29,4.08,0.475,2.541
SQL + Spark,Data Warehouse,63,147,33,4.64,0.524,2.534
ETL + Reporting,Data Engineering,75,101,27,3.8,0.36,2.534
Oracle,Data Warehouse,86,147,45,6.33,0.523,2.531
Tableau,Statistics,109,134,52,7.31,0.477,2.531
Statistics,Tableau,134,109,52,7.31,0.388,2.531
ELT,AWS,67,122,29,4.08,0.433,2.523
ETL + SQL,Data Quality,110,123,48,6.75,0.436,2.522
Data Quality + Reporting,Data Warehouse,71,147,37,5.2,0.521,2.521
English + Machine Learning,AI,93,158,52,7.31,0.559,2.516
Big Data + ETL,AWS,58,122,25,3.52,0.431,2.512
AI + GCP,Machine Learning,33,232,27,3.8,0.818,2.507
Git,LLM,77,118,32,4.5,0.416,2.504
Big Data + Reporting,Data Quality,67,123,29,4.08,0.433,2.502
Data Lake,AWS,70,122,30,4.22,0.429,2.498
Data Warehouse + Reporting,Data Quality,86,123,37,5.2,0.43,2.487
Data Warehouse + SQL,Big Data,121,130,55,7.74,0.455,2.486
Kubernetes,Big Data,55,130,25,3.52,0.455,2.486
Data Warehouse + Reporting,Big Data,86,130,39,5.49,0.453,2.48
AWS + Python,Data Engineering,88,101,31,4.36,0.352,2.48
ETL + Reporting,Big Data,75,130,34,4.78,0.453,2.479
Big Data + Python,Data Quality,84,123,36,5.06,0.429,2.477
AWS + GCP,Data Engineering,74,101,26,3.66,0.351,2.473
ELT + ETL,AWS,66,122,28,3.94,0.424,2.472
AWS + Machine Learning,AI,62,158,34,4.78,0.548,2.468
Docker + LLM,Machine Learning,41,232,33,4.64,0.805,2.467
Business Intelligence + Data Analysis,Power BI,41,197,28,3.94,0.683,2.465
Python + Spark,Data Quality,61,123,26,3.66,0.426,2.464
AI + Python,Machine Learning,112,232,90,12.66,0.804,2.463
Data Quality + Python,AWS,71,122,30,4.22,0.423,2.462
Data Engineering,Data Quality,101,123,43,6.05,0.426,2.461
Big Data + Data Analysis,Data Warehouse,61,147,31,4.36,0.508,2.458
